                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7959,                 11.805,                0.69782,                 2.8649,                    2.5,                0.99107,                      1,                  0.995,                0.90897,                      0,                      0,                      0,                      0,                0.84063,                 11.893,                0.67268,                  0.843,                 1.8536,                 0.0003,                 0.0003,                 0.0003
                      2,                0.66293,                 11.497,                0.64157,                0.43148,                 1.4492,                0.42671,                0.47059,                0.49652,                0.19932,                      0,                      0,                      0,                      0,                 2.4792,                 11.546,                0.65611,                 4.2254,                 3.2375,             0.00061877,             0.00061877,             0.00061877
                      3,                0.55448,                 11.333,                0.62501,                0.40655,                 1.3072,                0.10767,                0.73529,                 0.1021,                0.02109,                      0,                      0,                      0,                      0,                 3.7839,                 11.887,                 2.3415,                 162.44,                 16.394,             0.00093628,             0.00093628,             0.00093628
                      4,                0.59214,                 11.024,                0.59289,                0.47421,                 1.3641,                0.35569,                0.32353,                0.26674,                0.07386,                      0,                      0,                      0,                      0,                  3.555,                  11.84,                0.99032,                 3.9846,                 7.6166,              0.0012525,              0.0012525,              0.0012525
                      5,                0.59087,                 10.644,                0.59136,                0.47173,                 1.3311,                0.01085,                0.02941,                0.00181,                0.00029,                      0,                      0,                      0,                      0,                 4.8816,                  11.84,                0.73055,                 12.478,                 14.246,              0.0015675,              0.0015675,              0.0015675
                      6,                0.67998,                 10.484,                0.58778,                0.48517,                 1.4206,                0.08778,                0.97059,                0.13393,                0.03081,                      0,                      0,                      0,                      0,                 3.2094,                 11.516,                 2.2923,                 325.07,                 57.802,              0.0018812,              0.0018812,              0.0018812
                      7,                0.60677,                 10.387,                 0.5962,                 0.4814,                 1.4166,                0.47222,                      1,                0.58432,                0.24803,                      0,                      0,                      0,                      0,                 1.3357,                 11.432,                0.52755,                 16.976,                 3.5783,              0.0019762,              0.0019762,              0.0019762
                      8,                0.56826,                 10.016,                 0.5823,                0.42947,                 1.3244,                0.05551,                0.26471,                0.03734,                0.00731,                      0,                      0,                      0,                      0,                 3.7643,                 11.414,                 0.5706,                 5.9048,                 3.9357,              0.0019723,              0.0019723,              0.0019723
                      9,                0.60985,                 10.486,                0.59866,                0.44027,                 1.3834,                0.51617,                0.58824,                0.49584,                0.21589,                      0,                      0,                      0,                      0,                 2.7076,                 11.302,                0.50726,                 2.1064,                 4.4048,              0.0019683,              0.0019683,              0.0019683
                     10,                0.58953,                 9.7488,                0.59294,                0.42159,                 1.3333,                 0.0522,                0.05882,                0.02459,                0.00543,                      0,                      0,                      0,                      0,                 3.9459,                 11.958,                 6.5451,                 3.9119,                 20.015,              0.0019644,              0.0019644,              0.0019644
