                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3206,                0.71948,                0.89802,                0.61869,                0.56463,                0.53999,                0.31572,                 1.2935,                 1.1385,                0.88912,              0.0033317,              0.0033317,              0.0033317
                      2,                 1.2722,                0.59545,                0.88965,                0.61597,                0.53541,                0.50082,                0.28634,                 1.3301,                 1.2245,                  0.896,              0.0065991,              0.0065991,              0.0065991
                      3,                 1.2664,                0.58687,                0.88997,                0.59973,                0.52967,                0.48497,                0.27006,                 1.4086,                 1.3113,                0.91417,              0.0098004,              0.0098004,              0.0098004
                      4,                 1.2501,                0.57757,                0.88736,                0.59532,                0.54862,                 0.4906,                0.28224,                 1.3545,                 1.3142,                0.90158,               0.009703,               0.009703,               0.009703
                      5,                 1.1983,                0.54755,                 0.8778,                0.61678,                0.55213,                0.50165,                   0.29,                 1.3178,                 1.3272,                0.89314,               0.009604,               0.009604,               0.009604
                      6,                   1.17,                0.53032,                0.87249,                0.61435,                0.54472,                0.48955,                0.28718,                 1.3215,                 1.2842,                0.89077,               0.009505,               0.009505,               0.009505
                      7,                 1.1495,                0.51684,                 0.8685,                0.61366,                0.55943,                0.50811,                0.29941,                 1.3116,                 1.3108,                0.88887,               0.009406,               0.009406,               0.009406
                      8,                 1.1298,                0.50761,                0.86508,                 0.6259,                0.54778,                0.49873,                0.29457,                 1.3136,                 1.3003,                0.88763,               0.009307,               0.009307,               0.009307
                      9,                 1.1135,                0.49908,                0.86216,                0.62843,                0.55597,                0.51035,                0.30028,                 1.3055,                  1.305,                0.88712,               0.009208,               0.009208,               0.009208
                     10,                 1.1044,                0.49297,                0.86065,                0.63332,                   0.56,                0.51989,                0.31414,                 1.2881,                 1.3355,                0.88322,               0.009109,               0.009109,               0.009109
                     11,                 1.0917,                0.48642,                0.85848,                0.63055,                0.55572,                0.50687,                0.30322,                 1.3044,                 1.3403,                0.88657,                0.00901,                0.00901,                0.00901
                     12,                 1.0827,                  0.482,                 0.8566,                0.63117,                0.55779,                0.50497,                0.30363,                 1.2999,                 1.3316,                0.88575,               0.008911,               0.008911,               0.008911
                     13,                 1.0704,                0.47659,                0.85482,                0.63108,                0.55539,                0.50842,                0.30706,                 1.2918,                 1.3549,                0.88493,               0.008812,               0.008812,               0.008812
                     14,                 1.0618,                0.47284,                0.85339,                0.62753,                0.56199,                0.51537,                0.31185,                 1.2926,                 1.3342,                0.88465,               0.008713,               0.008713,               0.008713
                     15,                 1.0537,                0.46893,                0.85228,                0.62469,                 0.5648,                0.51496,                0.31097,                 1.2904,                 1.3475,                0.88413,               0.008614,               0.008614,               0.008614
                     16,                 1.0452,                0.46453,                0.85077,                0.63446,                0.56758,                 0.5181,                0.31303,                 1.2903,                 1.3299,                0.88301,               0.008515,               0.008515,               0.008515
